,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2023-24,NBA,Tyrese Maxey,(V),23,PHI,70,37.5,25.9,3.7,6.2,1,0.5,0.45,0.373,0.868,8.1,0.147
2022-23,NBA,Lauri Markkanen,(V),25,UTA,66,34.4,25.6,8.6,1.9,0.6,0.6,0.499,0.391,0.875,8.2,0.173
2021-22,NBA,Ja Morant,(V),22,MEM,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171
2020-21,NBA,Julius Randle,(V),26,NYK,71,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14
2019-20,NBA,Brandon Ingram,(V),22,NOP,62,33.9,23.8,6.1,4.2,1,0.6,0.463,0.391,0.851,5.1,0.115
2018-19,NBA,Pascal Siakam,(V),24,TOR,80,31.9,16.9,6.9,3.1,0.9,0.7,0.549,0.369,0.785,9.3,0.175
2017-18,NBA,Victor Oladipo,(V),25,IND,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
2016-17,NBA,Giannis Antetokounmpo,(V),22,MIL,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
2015-16,NBA,CJ McCollum,(V),24,POR,80,34.8,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,6,0.104
2014-15,NBA,Jimmy Butler,(V),25,CHI,65,38.7,20,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214
2013-14,NBA,Goran Dragić,(V),27,PHO,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
2012-13,NBA,Paul George,(V),22,IND,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9,0.145
2011-12,NBA,Ryan Anderson,(V),23,ORL,61,32.2,16.1,7.7,0.9,0.8,0.4,0.439,0.393,0.877,8.9,0.219
2010-11,NBA,Kevin Love,(V),22,MIN,73,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21
2009-10,NBA,Aaron Brooks,(V),25,HOU,82,35.6,19.6,2.6,5.3,0.8,0.2,0.432,0.398,0.822,5.5,0.091
2008-09,NBA,Danny Granger,(V),25,IND,67,36.2,25.8,5.1,2.7,1,1.4,0.447,0.404,0.878,8,0.158
2007-08,NBA,Hedo Türkoğlu,(V),28,ORL,82,36.9,19.5,5.7,5,0.9,0.3,0.456,0.4,0.829,9,0.143
2006-07,NBA,Monta Ellis,(V),21,GSW,77,34.3,16.5,3.2,4.1,1.7,0.3,0.475,0.273,0.763,4,0.072
